Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";gminy łącznie z miastami na prawach powiatu;ogółem;"";zł;81984893,77;83477691,99;80941131,58;83995413,21;91498487,44;99978259,68;118654814,52;129335890,95;144919469,78;164044776,84;182558483,65;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem (Wymiary: Jednostki terytorialne; Dochody)";gminy bez miast na prawach powiatu;ogółem;"";zł;81984893,77;83477691,99;80941131,58;83995413,21;91498487,44;99978259,68;118654814,52;129335890,95;144919469,78;164044776,84;182558483,65;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";gminy łącznie z miastami na prawach powiatu;ogółem;"";zł;;;;;;;;129335890,95;144919469,78;164044776,84;182558483,65;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";gminy bez miast na prawach powiatu;ogółem;"";zł;;;;;;;;129335890,95;144919469,78;164044776,84;182558483,65;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";gminy łącznie z miastami na prawach powiatu;razem;"";zł;45976891,90;47349856,23;49785159,06;52579375,35;58239618,15;64694713,77;63379933,91;69721567,70;79464986,11;90036991,95;98013835,56;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody własne (Wymiary: Jednostki terytorialne; Rodzaje dochodów)";gminy bez miast na prawach powiatu;razem;"";zł;45976891,90;47349856,23;49785159,06;52579375,35;58239618,15;64694713,77;63379933,91;69721567,70;79464986,11;90036991,95;98013835,56;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dotacje (Wymiary: Jednostki terytorialne; Rodzaje dotacji; Przeznaczenie)";gminy łącznie z miastami na prawach powiatu;dotacje ogółem (celowe + dotacje §§ 200, 620 + dotacje §§ 205, 625);ogółem;zł;20162282,87;19513353,76;13797306,52;13848725,86;14949344,29;16029347,91;35419853,61;38895325,25;42656519,67;49930061,89;60096396,09;
DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dotacje (Wymiary: Jednostki terytorialne; Rodzaje dotacji; Przeznaczenie)";gminy bez miast na prawach powiatu;dotacje ogółem (celowe + dotacje §§ 200, 620 + dotacje §§ 205, 625);ogółem;zł;20162282,87;19513353,76;13797306,52;13848725,86;14949344,29;16029347,91;35419853,61;38895325,25;42656519,67;49930061,89;60096396,09;
WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";gminy łącznie z miastami na prawach powiatu;ogółem;"";zł;80193313,87;86978838,07;77411597,45;82487221,42;85573650,66;94707530,78;112650244,85;131055466,84;145070921,03;155052944,08;170722872,95;
WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";gminy bez miast na prawach powiatu;ogółem;"";zł;80193313,87;86978838,07;77411597,45;82487221,42;85573650,66;94707530,78;112650244,85;131055466,84;145070921,03;155052944,08;170722872,95;
